GEOCODIGO_MUNICIPIO;NOME_MUNICIPIO;LONGITUDE;LATITUDE
1300029;ALVARÃES;-64.8135346775686;-3.21658376906639
1300060;AMATURÁ;-68.2096146409404;-3.36680518750561
1300086;ANAMÃ;-61.4059034797501;-3.57637042689027
1300102;ANORI;-61.6589553828779;-3.74538558611889
1300144;APUÍ;-59.8856661047188;-7.1978701516076
1300201;ATALAIA DO NORTE;-70.1879892845226;-4.36615748971603
1300300;AUTAZES;-59.1335670918168;-3.57866364177127
1300409;BARCELOS;-62.9256696581026;-0.972801052532191
1300508;BARREIRINHA;-57.0677504898938;-2.7981498369298
1300607;BENJAMIN CONSTANT;-70.0273484332765;-4.37498901860391
1300631;BERURI;-61.3715708916659;-3.89451340981806
1300680;BOA VISTA DO RAMOS;-57.5877073464737;-2.97172653158936
1300706;BOCA DO ACRE;-67.3995777566805;-8.75124319609379
1300805;BORBA;-59.5945590194969;-4.39061989147273
1300839;CAAPIRANGA;-61.2113341331817;-3.3300933919416
1300904;CANUTAMA;-64.3942308189288;-6.52910607582614
1301001;CARAUARI;-66.8966352816837;-4.88166590420413
1301100;CAREIRO;-60.3638098437089;-3.82244727004599
1301159;CAREIRO DA VÁRZEA;-59.8263140608339;-3.1973965948696
1301209;COARI;-63.1421839840562;-4.08421915877588
1301308;CODAJÁS;-62.0634296604883;-3.84304593273892
1301407;EIRUNEPÉ;-69.8662902624416;-6.66735256685182
1301506;ENVIRA;-70.0304125429825;-7.43981754396838
1301605;FONTE BOA;-66.0965029898347;-2.51227068454779
1301654;GUAJARÁ;-72.5824305383396;-7.5477744148336
1301704;HUMAITÁ;-63.0266980219283;-7.51222495061139
1301803;IPIXUNA;-71.6944180603084;-7.05098011443721
1301852;IRANDUBA;-60.1933881661307;-3.2810538776069
1301902;ITACOATIARA;-58.4401754367571;-3.14037880391635
1301951;ITAMARATI;-68.2479174359782;-6.43779934861918
1302009;ITAPIRANGA;-58.0345458839662;-2.74184275232884
1302108;JAPURÁ;-66.9969034946413;-1.880844858703
1302207;JURUÁ;-66.0630419255434;-3.47488959889068
1302306;JUTAÍ;-66.7713275466878;-2.74464644685786
1302405;LÁBREA;-64.79477302752;-7.26194655332705
1302504;MANACAPURU;-60.6205894458706;-3.29827803546755
1302553;MANAQUIRI;-60.4588813063745;-3.42907966935262
1302603;MANAUS;-60.023335181061;-3.13469149120195
1302702;MANICORÉ;-61.2992484088508;-5.81320526118813
1302801;MARAÃ;-65.5742837031641;-1.86643687730125
1302900;MAUÉS;-57.7150343867525;-3.38642792621106
1303007;NHAMUNDÁ;-56.7167699133376;-2.1889837668969
1303106;NOVA OLINDA DO NORTE;-59.0930740260433;-3.88759283191138
1303205;NOVO AIRÃO;-60.948810707829;-2.62343245902763
1303304;NOVO ARIPUANÃ;-60.3770456690009;-5.12266931419617
1303403;PARINTINS;-56.7362921451951;-2.62705258583723
1303502;PAUINI;-67.0020974885282;-7.71404364432219
1303536;PRESIDENTE FIGUEIREDO;-60.0256468344675;-2.058429085233
1303569;RIO PRETO DA EVA;-59.704738094199;-2.6933015416451
1303601;SANTA ISABEL DO RIO NEGRO;-65.020022639512;-0.416694831881864
1303700;SANTO ANTÔNIO DO IÇÁ;-67.9464851438841;-3.10748630918151
1303809;SÃO GABRIEL DA CACHOEIRA;-67.0836428963463;-0.136462788116522
1303908;SÃO PAULO DE OLIVENÇA;-68.9448534881358;-3.46650962349132
1303957;SÃO SEBASTIÃO DO UATUMÃ;-57.8703463558346;-2.57015257967785
1304005;SILVES;-58.2148008608269;-2.83642742966584
1304062;TABATINGA;-69.9462443752272;-4.23188367564665
1304104;TAPAUÁ;-63.1870948671802;-5.62422351778794
1304203;TEFÉ;-64.7084196633027;-3.34837249394151
1304237;TONANTINS;-67.7764822806952;-2.86109124983543
1304260;UARINI;-65.1553456401554;-2.9836092426921
1304302;URUCARÁ;-57.7598281745956;-2.53661167184038
1304401;URUCURITUBA;-58.1596410413098;-3.1346331156473
1400027;AMAJARI;-61.4205901726631;3.6521184454459
1400050;ALTO ALEGRE;-61.3140223901178;2.99382294765484
1400100;BOA VISTA;-60.6705326729651;2.81668191910439
1400159;BONFIM;-59.8780066289099;3.35028861911032
1400175;CANTÁ;-60.6020628476112;2.60766639841651
1400209;CARACARAÍ;-61.14917687013;1.80387124729759
1400233;CAROEBE;-59.6948100736757;0.872674507186562
1400282;IRACEMA;-61.0522585850197;2.16821476520387
1400308;MUCAJAÍ;-60.9115185306216;2.47977223505342
1400407;NORMANDIA;-59.6352062835683;3.88297828530181
1400456;PACARAIMA;-61.1473063471493;4.47525934021226
1400472;RORAINÓPOLIS;-60.4250604939819;0.937195393597556
1400506;SÃO JOÃO DA BALIZA;-59.9060443451544;0.947157427466681
1400605;SÃO LUIZ;-60.0282667741903;1.01811162739126
1400704;UIRAMUTÃ;-60.195716148042;4.58544038754255
1500107;ABAETETUBA;-48.8844038207231;-1.72346986284591
1500131;ABEL FIGUEIREDO;-48.3967621257945;-4.9513908955313
1500206;ACARÁ;-48.2004564317501;-1.9634365
1500305;AFUÁ;-50.3914275892332;-0.159171693779797
1500347;ÁGUA AZUL DO NORTE;-50.4852745072531;-6.80494886740538
1500404;ALENQUER;-54.7408623501896;-1.951397505
1500503;ALMEIRIM;-52.5768350868127;-1.52733880276478
1500602;ALTAMIRA;-52.2143763052078;-3.20565951
1500701;ANAJÁS;-49.945001040544;-0.984451394008702
1500800;ANANINDEUA;-48.372066654168;-1.36871356826946
1500859;ANAPU;-51.2016217984581;-3.47610463506868
1500909;AUGUSTO CORRÊA;-46.6416457856711;-1.02292101
1500958;AURORA DO PARÁ;-47.5561746036128;-2.12937601319444
1501006;AVEIRO;-55.3307343898178;-3.60559525928393
1501105;BAGRE;-50.2219869206135;-1.88980806036172
1501204;BAIÃO;-49.6727533733253;-2.79196186136136
1501253;BANNACH;-50.4060471215195;-7.3510721924244
1501303;BARCARENA;-48.6270728925156;-1.505767005
1501402;BELÉM;-48.4878256874876;-1.459845
1501451;BELTERRA;-54.9426747393262;-2.64902016946856
1501501;BENEVIDES;-48.2418364505703;-1.361437515
1501576;BOM JESUS DO TOCANTINS;-48.5990399590615;-5.04736270432029
1501600;BONITO;-47.3058918168639;-1.36747435687254
1501709;BRAGANÇA;-46.765754213664;-1.05352395620564
1501725;BRASIL NOVO;-52.5434411922788;-3.29780370400837
1501758;BREJO GRANDE DO ARAGUAIA;-48.4057604223874;-5.70729615383609
1501782;BREU BRANCO;-49.5698796832857;-3.77813541287867
1501808;BREVES;-50.4808947990195;-1.6907365
1501907;BUJARU;-48.035875014396;-1.51399146230061
1501956;CACHOEIRA DO PIRIÁ;-46.5473914166255;-1.75289700493124
1502004;CACHOEIRA DO ARARI;-48.9606675773871;-1.00878626563928
1502103;CAMETÁ;-49.497830168997;-2.24683848
1502152;CANAÃ DOS CARAJÁS;-49.8489584319153;-6.5321966156294
1502202;CAPANEMA;-47.1751261231344;-1.192441995
1502301;CAPITÃO POÇO;-47.0628253774009;-1.74618729323752
1502400;CASTANHAL;-47.9266431419442;-1.29575680504525
1502509;CHAVES;-49.9893186050714;-0.162437290121912
1502608;COLARES;-48.2887284319494;-0.932091243957739
1502707;CONCEIÇÃO DO ARAGUAIA;-49.2645008124957;-8.26486353
1502756;CONCÓRDIA DO PARÁ;-47.9498869390047;-1.98452146277275
1502764;CUMARU DO NORTE;-50.7715783775131;-7.81110653689927
1502772;CURIONÓPOLIS;-49.6022142249504;-6.09681995220666
1502806;CURRALINHO;-49.7915228470854;-1.80942341966693
1502855;CURUÁ;-55.1196786087308;-1.88992870430549
1502905;CURUÇÁ;-47.8512650859352;-0.73249551
1502939;DOM ELISEU;-47.5559148859934;-4.29077772
1502954;ELDORADO DOS CARAJÁS;-49.3739519421522;-6.10352516107139
1503002;FARO;-56.745753017307;-2.17297524194977
1503044;FLORESTA DO ARAGUAIA;-49.6975784122373;-7.55870087237008
1503077;GARRAFÃO DO NORTE;-47.0450460172973;-1.93169704310669
1503093;GOIANÉSIA DO PARÁ;-49.1010449237426;-3.842468
1503101;GURUPÁ;-51.6436957233941;-1.404918
1503200;IGARAPÉ-AÇU;-47.6223754920271;-1.124322
1503309;IGARAPÉ-MIRI;-48.9622994689466;-1.983116
1503408;INHANGAPI;-47.9133927465885;-1.42658198091031
1503457;IPIXUNA DO PARÁ;-47.4997175887983;-2.5575285
1503507;IRITUIA;-47.4407556128483;-1.771474995
1503606;ITAITUBA;-55.9900488572777;-4.26372948
1503705;ITUPIRANGA;-49.3244258612861;-5.12883702636091
1503754;JACAREACANGA;-57.7663398583794;-6.22355173138645
1503804;JACUNDÁ;-49.1127815625675;-4.448405475
1503903;JURUTI;-56.0949976884001;-2.155252995
1504000;LIMOEIRO DO AJURU;-49.3815339012019;-1.8919485
1504059;MÃE DO RIO;-47.5522901794773;-2.04770744079076
1504109;MAGALHÃES BARATA;-47.5991818964912;-0.795850156021161
1504208;MARABÁ;-49.1420253334067;-5.35260576313025
1504307;MARACANÃ;-47.4552679594076;-0.762419459981231
1504406;MARAPANIM;-47.7025487537677;-0.712150996347819
1504422;MARITUBA;-48.340535877783;-1.3464172655758
1504455;MEDICILÂNDIA;-52.8883453507243;-3.44541741218688
1504505;MELGAÇO;-50.7174646976964;-1.803446698641
1504604;MOCAJUBA;-49.5090234612729;-2.58287297327153
1504703;MOJU;-48.7671991273719;-1.885889
1504802;MONTE ALEGRE;-54.073374725636;-2.003328
1504901;MUANÁ;-49.2168324424737;-1.5300262083549
1504950;NOVA ESPERANÇA DO PIRIÁ;-46.9620928836736;-2.2676259890313
1504976;NOVA IPIXUNA;-49.0798869380164;-4.92308630702649
1505007;NOVA TIMBOTEUA;-47.3932022764599;-1.20414364746687
1505031;NOVO PROGRESSO;-55.4198701179784;-7.03483591328812
1505064;NOVO REPARTIMENTO;-49.9486382443426;-4.2481485
1505106;ÓBIDOS;-55.5163235097126;-1.90923549588121
1505205;OEIRAS DO PARÁ;-49.8551061087735;-2.004734
1505304;ORIXIMINÁ;-55.8627995152359;-1.7637535
1505403;OURÉM;-47.1176193628501;-1.54894714230244
1505437;OURILÂNDIA DO NORTE;-51.0908327746816;-6.74061708637736
1505486;PACAJÁ;-50.6348408304298;-3.8303057037573
1505494;PALESTINA DO PARÁ;-48.3217937261637;-5.74993410622605
1505502;PARAGOMINAS;-47.3569615610519;-2.9941905
1505536;PARAUAPEBAS;-49.900780634297;-6.07272988763184
1505551;PAU D'ARCO;-50.0482755318998;-7.83679440397357
1505601;PEIXE-BOI;-47.3179270215591;-1.18956924075654
1505635;PIÇARRA;-48.8684006672187;-6.45367623455792
1505650;PLACAS;-54.2169681312654;-3.86731556213536
1505700;PONTA DE PEDRAS;-48.8717855600433;-1.3965999975235
1505809;PORTEL;-50.822490442211;-1.936451
1505908;PORTO DE MOZ;-52.2424769190201;-1.74609008880885
1506005;PRAINHA;-53.4818139407895;-1.8056945
1506104;PRIMAVERA;-47.1172512589126;-0.940111515930574
1506112;QUATIPURU;-47.006786993576;-0.900115853739325
1506138;REDENÇÃO;-50.0296418255093;-8.0276045
1506161;RIO MARIA;-50.0464108775224;-7.31111524468815
1506187;RONDON DO PARÁ;-48.0699737493982;-4.77782172703554
1506195;RURÓPOLIS;-54.9058622598691;-4.09906539
1506203;SALINÓPOLIS;-47.3531202631536;-0.623638
1506302;SALVATERRA;-48.5131865994469;-0.754525974353047
1506351;SANTA BÁRBARA DO PARÁ;-48.2977406497887;-1.22943946699244
1506401;SANTA CRUZ DO ARARI;-49.1716155661252;-0.659974125599254
1506500;SANTA ISABEL DO PARÁ;-48.1630599409531;-1.29739590129143
1506559;SANTA LUZIA DO PARÁ;-46.9061692026983;-1.51882789138752
1506583;SANTA MARIA DAS BARREIRAS;-49.7193518572257;-8.87055053969294
1506609;SANTA MARIA DO PARÁ;-47.5746954138091;-1.3478664592967
1506708;SANTANA DO ARAGUAIA;-50.344804321129;-9.329424525
1506807;SANTARÉM;-54.7185701672711;-2.43621332999996
1506906;SANTARÉM NOVO;-47.400924744868;-0.928719535783208
1507003;SANTO ANTÔNIO DO TAUÁ;-48.1324330748457;-1.1516925
1507102;SÃO CAETANO DE ODIVELAS;-48.0258054980831;-0.746617759994861
1507151;SÃO DOMINGOS DO ARAGUAIA;-48.7203734107844;-5.549841
1507201;SÃO DOMINGOS DO CAPIM;-47.7747845692257;-1.6758145
1507300;SÃO FÉLIX DO XINGU;-51.9937825239643;-6.64248327834078
1507409;SÃO FRANCISCO DO PARÁ;-47.7905146107051;-1.17018878467698
1507458;SÃO GERALDO DO ARAGUAIA;-48.5557124861926;-6.39895797
1507466;SÃO JOÃO DA PONTA;-47.9207241656462;-0.851002145269607
1507474;SÃO JOÃO DE PIRABAS;-47.1726742979205;-0.766442531515371
1507508;SÃO JOÃO DO ARAGUAIA;-48.7886334020461;-5.35900272441641
1507607;SÃO MIGUEL DO GUAMÁ;-47.4824089444892;-1.61713591449048
1507706;SÃO SEBASTIÃO DA BOA VISTA;-49.5323121746161;-1.7188505
1507755;SAPUCAIA;-49.7035807118843;-6.94285711257384
1507805;SENADOR JOSÉ PORFÍRIO;-51.9530564180171;-2.59485041832352
1507904;SOURE;-48.5160126622773;-0.7259255
1507953;TAILÂNDIA;-48.9512816295758;-2.9370795
1507961;TERRA ALTA;-47.9078083483744;-1.03482666361629
1507979;TERRA SANTA;-56.4909047722432;-2.10811447373903
1508001;TOMÉ-AÇU;-48.146896586572;-2.41936685526733
1508035;TRACUATEUA;-46.8994783371171;-1.06878405856835
1508050;TRAIRÃO;-55.9961700349273;-4.69981914969727
1508084;TUCUMÃ;-51.1395392466358;-6.74997200738229
1508100;TUCURUÍ;-49.6671843672248;-3.76688908431164
1508126;ULIANÓPOLIS;-47.5031447549992;-3.75719301
1508159;URUARÁ;-53.7370310504594;-3.7065285
1508209;VIGIA;-48.1414985852069;-0.855532573667763
1508308;VISEU;-46.1387652161496;-1.20327852667727
1508357;VITÓRIA DO XINGU;-52.0112603538154;-2.8837657102288
1508407;XINGUARA;-49.9427005843752;-7.10151282714604
1600055;SERRA DO NAVIO;-52.0035384352918;0.897841040971924
1600105;AMAPÁ;-50.7932144702699;2.05392124468205
1600154;PEDRA BRANCA DO AMAPARI;-51.9465942732743;0.776882860563944
1600204;CALÇOENE;-50.9447727342665;2.49655904456698
1600212;CUTIAS;-50.8016260298776;0.97107805541715
1600238;FERREIRA GOMES;-51.1874290460046;0.853977393142956
1600253;ITAUBAL;-50.7001794374183;0.600653288304609
1600279;LARANJAL DO JARI;-52.5390207369393;-0.8556645
1600303;MACAPÁ;-51.057405457036;0.03895101
1600402;MAZAGÃO;-51.2860768561013;-0.124396328821101
1600501;OIAPOQUE;-51.8305525552731;3.85113073255929
1600535;PORTO GRANDE;-51.4144488229915;0.712554701824323
1600550;PRACUÚBA;-50.7842537212883;1.74250848707834
1600600;SANTANA;-51.1728464650687;-0.0383734790956603
1600709;TARTARUGALZINHO;-50.9127861523142;1.50984824031107
1600808;VITÓRIA DO JARI;-52.4196147795718;-0.918977088542799
1700251;ABREULÂNDIA;-49.1624375554797;-9.62179071199836
1700301;AGUIARNÓPOLIS;-47.470456587945;-6.5471708206181
1700350;ALIANÇA DO TOCANTINS;-48.9412400221409;-11.3037430465089
1700400;ALMAS;-47.1741716842358;-11.5745234694478
1700707;ALVORADA;-49.12681140673;-12.4788153208227
1701002;ANANÁS;-48.0797646061948;-6.36281815410008
1701051;ANGICO;-47.8620778391735;-6.3877527497248
1701101;APARECIDA DO RIO NEGRO;-47.9766700113511;-9.9558777145605
1701309;ARAGOMINAS;-48.5234301922917;-7.1643492714437
1701903;ARAGUACEMA;-49.5618126396073;-8.80180254411115
1702000;ARAGUAÇU;-49.8286124432782;-12.9255837118616
1702109;ARAGUAÍNA;-48.2087052518558;-7.19132893965496
1702158;ARAGUANÃ;-48.6437495469431;-6.58224942002919
1702208;ARAGUATINS;-48.1235073430294;-5.65058647299995
1702307;ARAPOEMA;-49.0756373852721;-7.65256973541903
1702406;ARRAIAS;-46.9461070585534;-12.9344198592593
1702554;AUGUSTINÓPOLIS;-47.8809567910047;-5.46541429589652
1702703;AURORA DO TOCANTINS;-46.4070829808607;-12.7084898610615
1702901;AXIXÁ DO TOCANTINS;-47.7741560325221;-5.62430906592745
1703008;BABAÇULÂNDIA;-47.7588161270324;-7.20186453206148
1703057;BANDEIRANTES DO TOCANTINS;-48.5783806048644;-7.76485914125333
1703073;BARRA DO OURO;-47.6871349692244;-7.69176659865687
1703107;BARROLÂNDIA;-48.7314605907218;-9.83165336453342
1703206;BERNARDO SAYÃO;-48.8990543467276;-7.86851248331281
1703305;BOM JESUS DO TOCANTINS;-48.1663804935405;-8.96334801285521
1703602;BRASILÂNDIA DO TOCANTINS;-48.485374419124;-8.38488935107799
1703701;BREJINHO DE NAZARÉ;-48.5586602281507;-11.0108050561865
1703800;BURITI DO TOCANTINS;-48.223250128075;-5.31353885638917
1703826;CACHOEIRINHA;-47.914197778559;-6.11324164650466
1703842;CAMPOS LINDOS;-46.8019743467067;-7.97168139413731
1703867;CARIRI DO TOCANTINS;-49.1710407289889;-11.8889974638744
1703883;CARMOLÂNDIA;-48.3959599306274;-7.03147877786106
1703891;CARRASCO BONITO;-48.0306334265692;-5.32266135485805
1703909;CASEARA;-49.9486922677787;-9.26740621890348
1704105;CENTENÁRIO;-47.3383985145873;-8.9584636390938
1704600;CHAPADA DE AREIA;-49.1831078580314;-10.1419885833334
1705102;CHAPADA DA NATIVIDADE;-47.7539048918565;-11.6242678313621
1705508;COLINAS DO TOCANTINS;-48.4815945437489;-8.05462467549995
1705557;COMBINADO;-46.5520723402661;-12.8186076720311
1705607;CONCEIÇÃO DO TOCANTINS;-47.292868810807;-12.2172777669654
1706001;COUTO MAGALHÃES;-49.176571570853;-8.35511836963524
1706100;CRISTALÂNDIA;-49.1863002912612;-10.5907246371177
1706258;CRIXÁS DO TOCANTINS;-48.9155138256477;-11.1042742936043
1706506;DARCINÓPOLIS;-47.7521611102799;-6.71235100148176
1707009;DIANÓPOLIS;-46.8204090669435;-11.625231878065
1707108;DIVINÓPOLIS DO TOCANTINS;-49.2054131873503;-9.79530114022946
1707207;DOIS IRMÃOS DO TOCANTINS;-49.0673386442723;-9.26129670979711
1707306;DUERÉ;-49.2658759161628;-11.3412854167798
1707405;ESPERANTINA;-48.5441476004124;-5.36660805940451
1707553;FÁTIMA;-48.8989826586808;-10.7525087280848
1707652;FIGUEIRÓPOLIS;-49.1738467307434;-12.1367799832225
1707702;FILADÉLFIA;-47.484964141532;-7.3376119059308
1708205;FORMOSO DO ARAGUAIA;-49.5268603629125;-11.8051419686495
1708254;FORTALEZA DO TABOCÃO;-48.5174264210488;-9.05896530114982
1708304;GOIANORTE;-48.9368901923611;-8.77052080482939
1709005;GOIATINS;-47.3154354891583;-7.7091723901957
1709302;GUARAÍ;-48.5086406064702;-8.83616565750443
1709500;GURUPI;-49.0714774689303;-11.72977232286
1709807;IPUEIRAS;-48.4519262288947;-11.2462886215917
1710508;ITACAJÁ;-47.768112402678;-8.39098055231856
1710706;ITAGUATINS;-47.4799359489833;-5.77538508840222
1710904;ITAPIRATINS;-48.1111996094691;-8.38432959344297
1711100;ITAPORÃ DO TOCANTINS;-48.6932637032248;-8.56882861156054
1711506;JAÚ DO TOCANTINS;-48.5946082927248;-12.6529263692706
1711803;JUARINA;-49.0986431854272;-8.11742396760678
1711902;LAGOA DA CONFUSÃO;-49.620085339146;-10.7886955575897
1711951;LAGOA DO TOCANTINS;-47.5614466302738;-10.2968866969998
1712009;LAJEADO;-48.3585039506901;-9.74468243573559
1712157;LAVANDEIRA;-46.5066757157435;-12.7916587876518
1712405;LIZARDA;-46.6751654558461;-9.59457028780967
1712454;LUZINÓPOLIS;-47.856828041414;-6.19398966023577
1712504;MARIANÓPOLIS DO TOCANTINS;-49.6510339944378;-9.79888035935058
1712702;MATEIROS;-46.412465743092;-10.5444288460778
1712801;MAURILÂNDIA DO TOCANTINS;-47.5048799601751;-5.95256642121045
1713205;MIRACEMA DO TOCANTINS;-48.3879913115193;-9.56834607764652
1713304;MIRANORTE;-48.5926319369139;-9.51740473109312
1713601;MONTE DO CARMO;-48.1104200299112;-10.7635421946238
1713700;MONTE SANTO DO TOCANTINS;-48.9908906033935;-10.005591431794
1713809;PALMEIRAS DO TOCANTINS;-47.5586835262825;-6.61186233456171
1713957;MURICILÂNDIA;-48.6067452770067;-7.13851928516033
1714203;NATIVIDADE;-47.7272575338232;-11.7053573825042
1714302;NAZARÉ;-47.6669771825263;-6.37255796928561
1714880;NOVA OLINDA;-48.4248067900164;-7.6333149106925
1715002;NOVA ROSALÂNDIA;-48.9061807245023;-10.5668711393323
1715101;NOVO ACORDO;-47.6681483922167;-9.96848646570169
1715150;NOVO ALEGRE;-46.5772973536675;-12.9099386744081
1715259;NOVO JARDIM;-46.6307872958899;-11.815875050149
1715507;OLIVEIRA DE FÁTIMA;-48.9074015689032;-10.7083627090618
1715705;PALMEIRANTE;-47.9342497089842;-7.85756137614505
1715754;PALMEIRÓPOLIS;-48.4134139552316;-13.0398884336692
1716109;PARAÍSO DO TOCANTINS;-48.8866300840169;-10.1712207549999
1716208;PARANÃ;-47.8840837284426;-12.6204814887183
1716307;PAU D'ARCO;-49.3633064810091;-7.53999835569997
1716505;PEDRO AFONSO;-48.1775561127386;-8.96444959242294
1716604;PEIXE;-48.537810626336;-12.029773830853
1716653;PEQUIZEIRO;-48.9351798669158;-8.59334065444845
1716703;COLMÉIA;-48.7570665856948;-8.72937180681859
1717008;PINDORAMA DO TOCANTINS;-47.5756877172877;-11.1382025846808
1717206;PIRAQUÊ;-48.2937073910932;-6.76977703340735
1717503;PIUM;-49.1666580115747;-10.4409311179305
1717800;PONTE ALTA DO BOM JESUS;-46.4695867923952;-12.0878129084344
1717909;PONTE ALTA DO TOCANTINS;-47.5411803583019;-10.7406728486815
1718006;PORTO ALEGRE DO TOCANTINS;-47.0474256004295;-11.6072590990885
1718204;PORTO NACIONAL;-48.4121534584309;-10.708569917
1718303;PRAIA NORTE;-47.8147317333423;-5.39671287737827
1718402;PRESIDENTE KENNEDY;-48.504330670109;-8.52996082761918
1718451;PUGMIL;-48.8942204487831;-10.4243071562468
1718501;RECURSOLÂNDIA;-47.2380411950208;-8.73536045388012
1718550;RIACHINHO;-48.141045502038;-6.44221138769741
1718659;RIO DA CONCEIÇÃO;-46.8803997045722;-11.404940023899
1718709;RIO DOS BOIS;-48.5330479716014;-9.3437422386879
1718758;RIO SONO;-47.8999416391395;-9.34778933411611
1718808;SAMPAIO;-47.8757924571994;-5.3492956164967
1718840;SANDOLÂNDIA;-49.9333881543012;-12.5416001674833
